"","lhs","","rhs","support","confidence","lift"
"[1]","{µ§ºÞ}","=>","{µ§ªä}",0.00371434171943819,0.515976660183384,10.0625914793776
"[2]","{¤â±b}","=>","{¶K¯È}",0.0010420958728203,0.356849315068493,11.7994869355657
"[3]","{¶K¥d}","=>","{¶K¯È}",0.00113210415358213,0.259752179899036,8.58889823738378
"[4]","{¦Û°Ê¹]µ§}","=>","{µ§ªä}",0.00422638882777215,0.251338170572142,4.90160413989019
"[5]","{­×¥¿±a}","=>","{µ§ªä}",0.00176016193489801,0.204984859072909,3.99762054271093
"[6]","{¿û¯]µ§}","=>","{µ§ªä}",0.00334630786032315,0.199928298279159,3.89900735051718
"[7]","{¥P¨©}","=>","{»æ°®}",0.00119210967409002,0.18584346741503,8.50541787880023
"[8]","{¬Üµ§}","=>","{µ§ªä}",0.00122011225032703,0.122195512820513,2.38306036108077
"[9]","{Äúµ§}","=>","{µ§ªä}",0.00128211795485185,0.120829406220547,2.35641851137413
"[10]","{ªwÄÑ}","=>","{»æ°®}",0.00181016653532125,0.120042445947738,5.49393088807723
"[11]","{¦ÌªG}","=>","{»æ°®}",0.00170815715045784,0.115343057806591,5.27885601635266
"[12]","{¿@´ö}","=>","{»æ°®}",0.00151213911679875,0.112049799911072,5.12813490156901
"[13]","{¿@´ö}","=>","{¦ÌªG}",0.00140612936390148,0.104194456795613,7.03571521512613
"[14]","{«H®M}","=>","{¶K¯È}",0.00124611464254711,0.101234969125772,3.34740924300967
"[15]","{µ§°O}","=>","{µ§ªä}",0.00256023554166983,0.100062539086929,1.95142247880585
"[16]","{­ì¤lµ§}","=>","{µ§ªä}",0.00154814242910348,0.0951444376152428,1.8555095242429
"[17]","{¦ÌªG}","=>","{¿@´ö}",0.00140612936390148,0.0949486763911399,7.03571521512613
"[18]","{«H®M}","=>","{µ§ªä}",0.0010961008412774,0.0890477738056549,1.73661221349791
"[19]","{®Ñ¦ç}","=>","{µ§ªä}",0.00117610820195458,0.0847262247838617,1.65233324175342
"[20]","{»æ°®}","=>","{ªwÄÑ}",0.00181016653532125,0.082845111680703,5.49393088807723
"[21]","{µ§ªä}","=>","{¦Û°Ê¹]µ§}",0.00422638882777215,0.0824231549383679,4.90160413989019
"[22]","{»æ°®}","=>","{¦ÌªG}",0.00170815715045784,0.0781764921274258,5.27885601635266
"[23]","{¦ÌªG}","=>","{ªwÄÑ}",0.00112810378554827,0.0761750405186386,5.05160050503454
"[24]","{ªwÄÑ}","=>","{¦ÌªG}",0.00112810378554827,0.0748109828889773,5.05160050503454
"[25]","{µ§ªä}","=>","{µ§ºÞ}",0.00371434171943819,0.0724371976907474,10.0625914793776
"[26]","{»æ°®}","=>","{¿@´ö}",0.00151213911679875,0.0692054192603442,5.12813490156901
"[27]","{µ§ªä}","=>","{¿û¯]µ§}",0.00334630786032315,0.0652597909190201,3.89900735051718
"[28]","{¿û¯]µ§}","=>","{µ§°O}",0.0010760990011081,0.0642925430210325,2.51276688973869
"[29]","{¼ÐÅÒ}","=>","{µ§ªä}",0.00121611188229317,0.0598543020279583,1.16728029786573
"[30]","{»æ°®}","=>","{¥P¨©}",0.00119210967409002,0.0545587696814354,8.50541787880023
