"","lhs","","rhs","support","confidence","lift"
"[1]","{µ§ºÞ}","=>","{µ§ªä}",0.00492379915712004,0.604515050167224,10.4584011998759
"[2]","{¤â±b}","=>","{¶K¯È}",0.00111120317538509,0.436566332218506,13.34096619814
"[3]","{¶K¥d}","=>","{¶K¯È}",0.00123719250374847,0.330653723646292,10.1043984038751
"[4]","{¨N¯D²y}","=>","{µ§ªä}",0.00131607771384986,0.322531293463143,5.57994654660683
"[5]","{¦Û°Ê¹]µ§}","=>","{µ§ªä}",0.00359012833885908,0.240039462700159,4.15279818761577
"[6]","{¿Ã¥úµ§}","=>","{µ§ªä}",0.00174852757066469,0.171328476894845,2.96406507635218
"[7]","{¿@´ö}","=>","{»æ°®}",0.00135126392267206,0.165958040008364,7.04864242362422
"[8]","{¥P¨©}","=>","{»æ°®}",0.00134104857172368,0.158388631945841,6.72715121543367
"[9]","{¦ÌªG}","=>","{»æ°®}",0.00217303215451967,0.154713321750374,6.57105183415366
"[10]","{µ§³U}","=>","{µ§ªä}",0.00105218114768333,0.149467913576266,2.58586681383125
"[11]","{ªwÄÑ}","=>","{»æ°®}",0.00289037679889493,0.13748144149008,5.83917188283946
"[12]","{«H®M}","=>","{¶K¯È}",0.00166283212659771,0.136660447761194,4.17618647993276
"[13]","{®Ñ¦ç}","=>","{µ§ªä}",0.00108169216153421,0.128636026186138,2.22546513976817
"[14]","{¿@´ö}","=>","{ªwÄÑ}",0.00103345300427796,0.126925489649404,6.03724029528117
"[15]","{»æ°®}","=>","{ªwÄÑ}",0.00289037679889493,0.122761346927953,5.83917188283946
"[16]","{¦ÌªG}","=>","{ªwÄÑ}",0.00169801833541991,0.120893773485797,5.75034031976632
"[17]","{¥P¨©}","=>","{ªwÄÑ}",0.00101585989986686,0.119981231986058,5.70693507210046
"[18]","{Äúµ§}","=>","{µ§ªä}",0.00130869996038714,0.11825641025641,2.04589279055423
"[19]","{¼ÐÅÒ}","=>","{µ§ªä}",0.00137112710507169,0.108413731209334,1.8756097077303
"[20]","{Â§¥d}","=>","{¥d¤ù}",0.00130415980441008,0.106001199317312,7.28243283148262
"[21]","{µ§°O}","=>","{µ§ªä}",0.00196759009655777,0.101749134237248,1.76030897377791
"[22]","{»æ°®}","=>","{¦ÌªG}",0.00217303215451967,0.0922939716055632,6.57105183415366
"[23]","{¥d¤ù}","=>","{Â§¥d}",0.00130415980441008,0.089597629444791,7.28243283148262
"[24]","{µ§ªä}","=>","{µ§ºÞ}",0.00492379915712004,0.0851840942562592,10.4584011998759
"[25]","{ªwÄÑ}","=>","{¦ÌªG}",0.00169801833541991,0.0807666351734377,5.75034031976632
"[26]","{½¦±a}","=>","{Âù­±½¦±a}",0.00102550773131811,0.0699168117624299,4.47778133366905
"[27]","{¥d¤ù}","=>","{¶K¯È}",0.00101585989986686,0.0697910168434186,2.13273339680223
"[28]","{Âù­±½¦±a}","=>","{½¦±a}",0.00102550773131811,0.0656780431068949,4.47778133366905
"[29]","{Âù­±½¦±a}","=>","{µ§ªä}",0.00101529238036973,0.0650238069276342,1.12494314277924
"[30]","{µ§ªä}","=>","{¦Û°Ê¹]µ§}",0.00359012833885908,0.0621109474717722,4.15279818761577
