"","lhs","","rhs","support","confidence","lift"
"[1]","{µ§ºÞ}","=>","{µ§ªä}",0.00379469535414074,0.689390302448392,8.92847621148663
"[2]","{Å]À¿µ§}","=>","{µ§ªä}",0.00131598766459755,0.314393939393939,4.07179909398928
"[3]","{¿Ã¥úµ§}","=>","{µ§ªä}",0.0014903956683394,0.263305322128852,3.41013689434842
"[4]","{¦Û°Ê¹]µ§}","=>","{µ§ªä}",0.00421221754491667,0.260713117435394,3.37656456549691
"[5]","{¿û¯]µ§}","=>","{µ§ªä}",0.00226730404864398,0.240067151650811,3.1091731999437
"[6]","{­×¥¿±a}","=>","{µ§ªä}",0.00118386038903555,0.228222109016811,2.95576491873331
"[7]","{Äúµ§}","=>","{µ§ªä}",0.00214310440961569,0.19980290711998,2.58770031558453
"[8]","{¥É¦Ì»æ}","=>","{»æ°®}",0.00136619602931111,0.177541208791209,7.51097561256519
"[9]","{¦ÌªG}","=>","{»æ°®}",0.00182335640275565,0.161781946072685,6.84427159068346
"[10]","{µ§³U}","=>","{µ§ªä}",0.00136355348379987,0.159851301115242,2.07027649549721
"[11]","{¿@´ö}","=>","{»æ°®}",0.00178636076559829,0.15742897065673,6.66011664201586
"[12]","{¥P¨©}","=>","{»æ°®}",0.00141904693953592,0.148753462603878,6.29309464269954
"[13]","{ªwÄÑ}","=>","{»æ°®}",0.00244435459789706,0.144395878863565,6.10874473640995
"[14]","{¬Üµ§}","=>","{µ§ªä}",0.00158024221572156,0.138779299141332,1.79736742253193
"[15]","{®Ñ¦ç}","=>","{µ§ªä}",0.00148775312282816,0.129574223245109,1.67815004904631
"[16]","{¦ÌªG}","=>","{ªwÄÑ}",0.00144018730362584,0.12778429073857,7.54862857542332
"[17]","{¹]µ§}","=>","{µ§ªä}",0.00117064766147935,0.123363965469229,1.5977193574305
"[18]","{µ§°O}","=>","{µ§ªä}",0.00292529788094275,0.119186046511628,1.54361002358293
"[19]","{«H®M}","=>","{µ§ªä}",0.00135298330175491,0.113475177304965,1.46964704545934
"[20]","{»æ°®}","=>","{ªwÄÑ}",0.00244435459789706,0.103409726103969,6.10874473640995
"[21]","{«H®M}","=>","{¶K¯È}",0.00121557093517043,0.101950354609929,3.87080957585564
"[22]","{¼ÐÅÒ}","=>","{µ§ªä}",0.00113629456983323,0.101271785209609,1.31159768555994
"[23]","{¿@´ö}","=>","{ªwÄÑ}",0.00107815856858595,0.0950163018164881,5.61291819892302
"[24]","{²´±mµ§}","=>","{»æ°®}",0.00109137129614215,0.0917981773727495,3.88357089725299
"[25]","{Âù­±½¦±a}","=>","{µ§ªä}",0.00115214984290067,0.09011988424969,1.16716646556762
"[26]","{ªwÄÑ}","=>","{¦ÌªG}",0.00144018730362584,0.0850764907898845,7.54862857542332
"[27]","{»æ°®}","=>","{¦ÌªG}",0.00182335640275565,0.0771380659586361,6.84427159068346
"[28]","{»æ°®}","=>","{¿@´ö}",0.00178636076559829,0.0755729457797652,6.66011664201586
"[29]","{ªwÄÑ}","=>","{¿@´ö}",0.00107815856858595,0.0636902903527942,5.61291819892302
"[30]","{»æ°®}","=>","{¥P¨©}",0.00141904693953592,0.0600335382895472,6.29309464269954
